iter	Passed	Remaining
0	1	146
1	2	143
2	4	137
3	5	126
4	6	128
5	7	119
6	8	115
7	9	107
8	9	100
9	10	94
10	11	89
11	11	85
12	12	81
13	12	77
14	13	74
15	13	71
16	14	69
17	14	67
18	15	66
19	16	64
20	16	62
21	17	61
22	18	61
23	19	60
24	19	59
25	20	59
26	21	58
27	22	57
28	23	56
29	23	55
30	24	54
31	25	53
32	25	52
33	26	50
34	26	49
35	27	48
36	27	47
37	28	46
38	29	45
39	29	44
40	30	43
41	30	42
42	31	41
43	31	40
44	32	39
45	32	38
46	33	37
47	34	36
48	34	36
49	35	35
50	36	34
51	36	33
52	37	32
53	37	32
54	38	31
55	38	30
56	39	29
57	39	28
58	40	28
59	40	27
60	41	26
61	42	25
62	42	25
63	43	24
64	43	23
65	44	22
66	45	22
67	45	21
68	46	20
69	46	20
70	47	19
71	47	18
72	48	17
73	48	17
74	49	16
75	50	15
76	50	15
77	51	14
78	51	13
79	52	13
80	52	12
81	53	11
82	54	11
83	54	10
84	55	9
85	55	9
86	56	8
87	56	7
88	57	7
89	57	6
90	58	5
91	59	5
92	59	4
93	60	3
94	60	3
95	61	2
96	61	1
97	62	1
98	63	0
99	63	0
